6	15
76	63
82	3
43	78
49	94
5	49
90	15
61	25
86	93
89	21
15	54
44	55
32	83
91	79
7	27
23	21
8	64
57	90
64	55
53	10
29	62
92	13
12	71
25	88
42	86
22	13
11	67
80	97
76	45
19	76
32	38
19	38
70	77
19	81
85	56
34	55
71	45
52	10
50	39
13	9
68	32
41	4
2	14
3	19
75	99
91	70
37	53
26	93
89	58
19	99
83	55
73	68
33	35
98	88
48	39
54	28
38	31
45	23
98	83
37	33
49	35
83	94
91	52
27	98
57	24
1	68
12	16
3	49
1	28
37	91
38	78
16	94
62	47
22	57
29	18
49	63
18	86
94	71
12	67
80	42
98	28
32	73
6	91
27	47
29	55
31	24
61	18
10	69
46	19
57	22
1	11
15	78
70	84
85	54
69	53
13	60
4	23
73	61
51	83
90	85
36	86
